District,Member,Party,Prior experience,Education,Assumed office,Residence,Age
Florida 5,John Rutherford,Republican,Sheriff of Duval County,Florida State College Florida State University (BS),2017,Jacksonville,(age 71)
Florida 6,Michael Waltz,Republican,U.S. Army Intelligence analyst,Virginia Military Institute (BS),2019,St. Augustine Beach[17],(age 49)
Florida 7,Cory Mills,Republican,Defense Business Board Businessman Security specialist U.S. Army,"Florida State College at Jacksonville (AA) American Military University (BS, MA)",2023,New Smyrna Beach,(age 43)
Florida 8,Bill Posey,Republican,Florida Senate Florida House of Representatives Rockledge City Council,Eastern Florida State College,2009,Rockledge,(age 75)
Florida 9,Darren Soto,Democratic,Florida Senate Florida House of Representatives,Rutgers University–New Brunswick (BA) George Washington University (JD),2017,Kissimmee[18],(age 45)
Florida 10,Maxwell Frost,Democratic,Activist Political organizer,Florida State University (BS),2023,Orlando,(age 26)
Florida 11,Daniel Webster,Republican,Florida Senate Speaker of Florida House of Representatives,Georgia Institute of Technology (BS),2011,Clermont[19],(age 74)
Florida 12,Gus Bilirakis,Republican,Florida House of Representatives,St. Petersburg College University of Florida (BA) Stetson University (JD),2007,Palm Harbor,(age 60)
Florida 13,Anna Paulina Luna,Republican,Air National Guard U.S. Air Force,University of West Florida (BS),2023,St. Petersburg,(age 34)
Florida 14,Kathy Castor,Democratic,Assistant General Counsel to the Florida Department of Community Affairs President of the Florida Association of Women Lawyers Hillsborough County Board of Commissioners,Emory University (BA) Florida State University (JD),2007,Tampa,(age 57)
Florida 15,Laurel Lee,Republican,Secretary of State of Florida,"University of Florida (BA, JD)",2023,Tampa,(age 49)
Florida 16,Vern Buchanan,Republican,Auto dealer,Cleary University (BA) University of Detroit Mercy (MBA),2007,Sarasota[20],(age 72)
Florida 17,Greg Steube,Republican,Florida Senate Florida House of Representatives,"University of Florida (BS, JD)",2019,Sarasota,(age 45)
Florida 18,Scott Franklin,Republican,Lakeland City Commission,United States Naval Academy (BA) Embry–Riddle Aeronautical University (MBA),2021,Lakeland,(age 59)
Florida 19,Byron Donalds,Republican,Florida House of Representatives,Florida State University (BS),2021,Naples,(age 45)
Florida 20,Sheila Cherfilus-McCormick,Democratic,CEO of Trinity Health,Howard University (BA) St. Thomas University (JD),2022 (special),Miramar,(age 44)
Florida 21,Brian Mast,Republican,U.S. Army,Palm Beach Atlantic University American Military University Harvard University (BLA),2017,Fort Pierce,(age 43)
Florida 22,Lois Frankel,Democratic,Mayor of West Palm Beach Florida House of Representatives,Boston University (BA) Georgetown University (JD),2013,West Palm Beach,(age 75)
Florida 23,Jared Moskowitz,Democratic,Florida House of Representatives Broward County Commission Director of the Florida Division of Emergency Management,George Washington University (BA) Nova Southeastern University (JD),2023,Parkland,(age 42)
Florida 24,Frederica Wilson,Democratic,Florida Senate Florida House of Representatives Miami-Dade County Public Schools Board,Fisk University (BA) University of Miami (MA),2011,Miami Gardens,(age 80)
Florida 25,Debbie Wasserman Schultz,Democratic,Florida Senate Florida House of Representatives Democratic National Committee Chair,"University of Florida (BA, MA)",2005,Weston,(age 57)
Florida 26,Mario Díaz-Balart,Republican,Florida Senate Florida House of Representatives,University of South Florida (BA),2003,Miami,(age 62)
Florida 27,María Elvira Salazar,Republican,News anchor Journalist,Miami Dade College University of Miami (BA) Harvard University (MPA),2021,Miami,(age 61)
Florida 28,Carlos Giménez,Republican,Mayor of Miami-Dade County Miami-Dade County Commission,Barry University (BPA),2021,Miami,(age 69)
Georgia 1,Buddy Carter,Republican,Georgia Senate Georgia House of Representatives Mayor of Pooler,Young Harris College University of Georgia (BS),2015,Pooler,(age 66)
Georgia 2,Sanford Bishop,Democratic,Georgia Senate Georgia House of Representatives,Morehouse College (BA) Emory University (JD),1993,Albany,(age 76)
Georgia 3,Drew Ferguson,Republican,Mayor of West Point,University of Georgia (BS) Augusta University (DMD),2017,The Rock,(age 56)
Georgia 4,Hank Johnson,Democratic,DeKalb County Commissioner Associate Magistrate Judge,Clark Atlanta University (BA) Texas Southern University (JD),2007,Lithonia,(age 69)
Georgia 5,Nikema Williams,Democratic,Georgia Senate Chair of the Georgia Democratic Party,Talladega College (BA),2021,Atlanta,(age 45)
Georgia 6,Rich McCormick,Republican,U.S. Marine Corps Emergency physician,Oregon State University (BS) Morehouse School of Medicine (MD) National University (MBA),2023,Suwanee,(age 55)
Georgia 7,Lucy McBath,Democratic,Activist,Virginia State University (BA),2019,Marietta,(age 63)
Georgia 8,Austin Scott,Republican,Georgia House of Representatives,University of Georgia (BA),2011,Tifton,(age 53)
Georgia 9,Andrew Clyde,Republican,U.S. Navy,University of Notre Dame (BA) Bethel University (BBA) University of Georgia (MBA),2021,Athens,(age 59)
Georgia 10,Mike Collins,Republican,Businessman,Georgia State University (BA),2023,Jackson,(age 56)
Georgia 11,Barry Loudermilk,Republican,Georgia State Senate Georgia House of Representatives,Air University Wayland Baptist University (BS),2015,Cassville,(age 59)
Georgia 12,Rick W. Allen,Republican,Businessman,Auburn University (BS),2015,Augusta,(age 71)
Georgia 13,David Scott,Democratic,Georgia State Senate Georgia House of Representatives,Florida A&M University (BA) University of Pennsylvania (MBA),2003,Atlanta,(age 78)
Georgia 14,Marjorie Taylor Greene,Republican,Businesswoman Activist,University of Georgia (BBA),2021,Rome[21],(age 49)
Hawaii 1,Ed Case,Democratic,U.S. House Hawaii House of Representatives,"Williams College (BA) University of California, Hastings (JD)",2019,Kāneʻohe,(age 71)
Hawaii 2,Jill Tokuda,Democratic,Hawaii Senate,University of Hawaiʻi at Mānoa (BA),2023,Kāneʻohe,(age 47)
Idaho 1,Russ Fulcher,Republican,Idaho Senate,"Boise State University (BA, MBA)",2019,Meridian,(age 61)
Idaho 2,Mike Simpson,Republican,Idaho House of Representatives Blackfoot City Council,Utah State University (BS) Washington University in St. Louis (DMD),1999,Idaho Falls,(age 73)
Illinois 1,Jonathan Jackson,Democratic,Investment Analyst,North Carolina A&T State University (BA) Northwestern University (MBA),2023,Chicago,(age 57)
Illinois 2,Robin Kelly,Democratic,Illinois House of Representatives Chief of Staff to the Illinois Treasurer Chief Administrative Officer to the Cook County President,"Bradley University (BA, MA) Northern Illinois University (PhD)",2013 (special),Matteson,(age 67)
Illinois 3,Delia Ramirez,Democratic,Illinois House of Representatives,Northeastern Illinois University (BA),2023,Chicago,(age 40)
Illinois 4,Jesús Chuy García,Democratic,Cook County Board of Commissioners Illinois Senate Chicago City Council,"University of Illinois Chicago (BA, MUP)",2019,Chicago,(age 67)
Illinois 5,Mike Quigley,Democratic,Cook County Board of Commissioners,Roosevelt University (BA) University of Chicago (MPP) Loyola University Chicago (JD),2009 (special),Chicago,(age 65)
Illinois 6,Sean Casten,Democratic,Entrepreneur,"Middlebury College (BA) Dartmouth College (MSEM, MS)",2019,Downers Grove,(age 51)
Illinois 7,Danny K. Davis,Democratic,Chicago City Council Cook County Board of Commissioners,University of Arkansas at Pine Bluff (BA) Chicago State University (MS) Union Institute & University (PhD),1997,Chicago,(age 82)
Illinois 8,Raja Krishnamoorthi,Democratic,Public servant Attorney,Princeton University (BS) Harvard University (JD),2017,Schaumburg,(age 50)
Illinois 9,Jan Schakowsky,Democratic,Illinois House of Representatives,University of Illinois Urbana-Champaign (BS),1999,Evanston,(age 79)
Illinois 10,Brad Schneider,Democratic,U.S. House,"Northwestern University (BS, MBA)",2017,Highland Park,(age 62)
Illinois 11,Bill Foster,Democratic,U.S. House,"University of Wisconsin–Madison (BS) Harvard University (MS, PhD)",2013,Naperville,(age 68)
Illinois 12,Mike Bost,Republican,Illinois House of Representatives,–,2015,Murphysboro,(age 62)
Illinois 13,Nikki Budzinski,Democratic,Chief of Staff to the Director of the Office of Management and Budget Senior Adviser for the Exploratory Committee to J.B. Pritzker,"University of Illinois, Urbana-Champaign (BA)",2023,Springfield,(age 46)
Illinois 14,Lauren Underwood,Democratic,Registered nurse,"University of Michigan (BSN) Johns Hopkins University (MSN, MPH)",2019,Naperville,(age 37)
Illinois 15,Mary Miller,Republican,Farmer,"Eastern Illinois University (BA, BS)",2021,Oakland,(age 64)
Illinois 16,Darin LaHood,Republican,Illinois Senate Prosecutor U.S. Attorney's Office Deputy Prosecutor Tazewell County,"Loras College (BA) John Marshall Law School, Chicago (JD)",2015 (special),Peoria[22],(age 55)
Illinois 17,Eric Sorensen,Democratic,Meteorologist,Northern Illinois University (BS),2023,Moline,(age 47)
Indiana 1,Frank J. Mrvan,Democratic,North Township Trustee,Ball State University (BS),2021,Highland[23],(age 54)
Indiana 2,Rudy Yakym,Republican,Indiana Judicial Nominating Commission Businessman,"Indiana University South Bend (AS, BS) University of Notre Dame (MBA)",2022 (special),Granger,(age 39)
Indiana 3,Jim Banks,Republican,Indiana Senate,Indiana University Bloomington (BA) Grace College & Seminary (MBA),2017,Columbia City,(age 44)
Indiana 4,Jim Baird,Republican,Indiana House of Representatives Putnam County Commission,"Purdue University, West Lafayette (BS, MS) University of Kentucky (PhD)",2019,Greencastle,(age 78)
Indiana 5,Victoria Spartz,Republican,Indiana Senate,"Kyiv National Economic University (BS, MBA) Indiana University, Indianapolis (MAcc)",2021,Noblesville,(age 45)
Indiana 6,Greg Pence,Republican,Businessman,"Loyola University Chicago (BA, MBA)",2019,Columbus[24],(age 66)
Indiana 7,André Carson,Democratic,Indianapolis City-County Council,Concordia University Wisconsin (BA) Indiana Wesleyan University (MS),2008 (special),Indianapolis[25],(age 49)
Indiana 8,Larry Bucshon,Republican,Heart surgeon,University of Illinois Urbana-Champaign (BS) University of Illinois Chicago (MD),2011,Evansville[26],(age 61)
Indiana 9,Erin Houchin,Republican,Indiana State Senate,"Indiana University, Bloomington (BS) George Washington University (MA)",2023,Salem,(age 47)
Iowa 1,Mariannette Miller-Meeks,Republican,Iowa Senate U.S. Army,"Texas Christian University (BS) University of Southern California (MS) University of Texas, San Antonio (MD)",2021,Le Claire,(age 68)
Iowa 2,Ashley Hinson,Republican,Iowa House of Representatives News anchor,University of Southern California (BA),2021,Marion,(age 40)
Iowa 3,Zach Nunn,Republican,Iowa Senate Iowa House of Representatives U.S. Air Force,Drake University (BA) Air University (MMAS) University of Cambridge (MSt),2023,Bondurant,(age 44)
Iowa 4,Randy Feenstra,Republican,Iowa Senate Sioux County Treasurer,Dordt University (BA) Iowa State University (MPA),2021,Hull,(age 54)
Kansas 1,Tracey Mann,Republican,Lieutenant Governor of Kansas Real estate agent Businessman,Kansas State University (BS),2021,Salina,(age 46)
Kansas 2,Jake LaTurner,Republican,Kansas State Treasurer Kansas Senate,Pittsburg State University (BA),2021,Topeka[27],(age 35)
Kansas 3,Sharice Davids,Democratic,Attorney Mixed martial artist,Haskell Indian Nations University University of Kansas Johnson County Community College University of Missouri–Kansas City (BA) Cornell University (JD),2019,Roeland Park[28],(age 43)
Kansas 4,Ron Estes,Republican,Kansas State Treasurer,"Tennessee Technological University (BS, MBA)",2017 (special),Wichita,(age 67)
Kentucky 1,James Comer,Republican,Kentucky House of Representatives Agriculture Commissioner of Kentucky,Western Kentucky University (BS),2016 (special),Tompkinsville,(age 51)
Kentucky 2,Brett Guthrie,Republican,Kentucky Senate,United States Military Academy (BS) Yale University (MBA),2009,Bowling Green,(age 59)
Kentucky 3,Morgan McGarvey,Democratic,Minority Leader of the Kentucky Senate Special Assistant to the Attorney General of Kentucky,University of Missouri (BA) University of Kentucky (JD),2023,Louisville,(age 43)
Kentucky 4,Thomas Massie,Republican,Judge-Executive of Lewis County,"Massachusetts Institute of Technology (BS, MS)",2012 (special),Garrison,(age 52)
Kentucky 5,Hal Rogers,Republican,Commonwealth's Attorney for Pulaski County and Rockcastle County,Western Kentucky University (BA) University of Kentucky (LLB),1981,Somerset[29],(age 85)
Kentucky 6,Andy Barr,Republican,Attorney,University of Virginia (BA) University of Kentucky (JD),2013,Lexington,(age 50)
Louisiana 1,Steve Scalise,Republican,Louisiana State Senate Louisiana House of Representatives,Louisiana State University (BS),2008 (special),Jefferson,(age 58)
Louisiana 2,Troy Carter,Democratic,Louisiana State Senate Louisiana House of Representatives New Orleans City Council,Xavier University of Louisiana (BA),2021 (special),New Orleans,(age 60)
Louisiana 3,Clay Higgins,Republican,Reserve Deputy Marshal of Lafayette,Louisiana State University,2017,Lafayette[30],(age 62)
Louisiana 4,Mike Johnson,Republican,Louisiana House of Representatives,"Louisiana State University (BA, JD)",2017,Benton,(age 51)
Louisiana 5,Julia Letlow,Republican,College administrator,"University of Louisiana at Monroe (BA, MA) University of South Florida (PhD)",2021 (special),Start,(age 42)
Louisiana 6,Garret Graves,Republican,Louisiana Coastal Protection and Restoration Authority,University of Alabama Louisiana Tech University American University,2015,Baton Rouge,(age 51)
Maine 1,Chellie Pingree,Democratic,"Maine State Senate President, Common Cause",University of Southern Maine College of the Atlantic (BS),2009,North Haven,(age 68)
Maine 2,Jared Golden,Democratic,Maine House of Representatives,"University of Maine, Farmington Bates College (BA)",2019,Lewiston,(age 41)
Maryland 1,Andy Harris,Republican,Maryland State Senate Anesthesiologist,"Johns Hopkins University (BS, MD, MHS)",2011,Cambridge,(age 66)
Maryland 2,Dutch Ruppersberger,Democratic,Baltimore County Executive Chief of the Office of Investigative Division for Maryland's Department of Justice Baltimore County Assistant State's Attorney,"Baltimore City College University of Maryland, College Park (BA) University of Baltimore (JD)",2003,Cockeysville[31],(age 77)
Maryland 3,John Sarbanes,Democratic,Attorney Law clerk,Princeton University (BA) Harvard University (JD),2007,Baltimore[32],(age 61)
Maryland 4,Glenn Ivey,Democratic,State's Attorney of Prince George's County Chair of the Maryland Public Service Commission Majority Council to the U.S. Senate Banking Committee Assistant U.S. Attorney,Princeton University (BA) Harvard University (JD),2023,Cheverly,(age 62)
Maryland 5,Steny Hoyer,Democratic,President of the Maryland State Senate Maryland Board of Higher Education,"University of Maryland, College Park (BA) Georgetown University (JD)",1981 (special),Mechanicsville,(age 84)
Maryland 6,David Trone,Democratic,Businessman,Furman University (BA) University of Pennsylvania (MBA),2019,Potomac,(age 68)
Maryland 7,Kweisi Mfume,Democratic,Baltimore City Council  U.S. House  President of the NAACP,Baltimore City Community College Morgan State University (BA) Johns Hopkins University (MA),2020 (special),Baltimore,(age 75)
Maryland 8,Jamie Raskin,Democratic,Maryland State Senate Majority Whip,"Harvard University (BA, JD)",2017,Takoma Park,(age 60)
Massachusetts 1,Richard Neal,Democratic,Mayor of Springfield,Holyoke Community College American International College (BA) University of Hartford (MA),1989,Springfield,(age 74)
Massachusetts 2,Jim McGovern,Democratic,Congressional staff member,"American University (BA, MPA)",1997,Worcester,(age 63)
Massachusetts 3,Lori Trahan,Democratic,Businesswoman Chief of Staff to Rep. Marty Meehan,Georgetown University (BA),2019,Westford,(age 50)
Massachusetts 4,Jake Auchincloss,Democratic,Newton City Council,Harvard University (BA) Massachusetts Institute of Technology (MBA),2021,Newton[33],(age 35)
Massachusetts 5,Katherine Clark,Democratic,Massachusetts Senate Massachusetts House of Representatives Attorney,St. Lawrence University (BA) Cornell University (JD) Harvard University (MPA),2013 (special),Revere,(age 60)
Massachusetts 6,Seth Moulton,Democratic,Businessman Activist U.S. Marine Corps,"Harvard University (BS, MBA, MPP)",2015,Salem,(age 45)
Massachusetts 7,Ayanna Pressley,Democratic,Boston City Council,Boston University,2019,Boston[34],(age 49)
