District,Member,Party,Prior experience,Education,Assumed office,Residence,Age
California 30,Adam Schiff,Democratic,California State Senate Assistant Prosecutor for the United States Attorney for the Southern District of California,Stanford University (BA) Harvard University (JD),2001,Burbank,63.0
California 31,Grace Napolitano,Democratic,California State Assembly,Cerritos College Texas Southmost College,1999,Norwalk,86.0
California 32,Brad Sherman,Democratic,California Board of Equalization,"University of California, Los Angeles (BA) Harvard University (JD)",1997,Los Angeles,69.0
California 33,Pete Aguilar,Democratic,Mayor of Redlands,University of Redlands (BS),2015,Redlands,44.0
California 34,Jimmy Gomez,Democratic,California State Assembly,"University of California, Los Angeles (BA) Harvard University (MPP)",2017 (special),Los Angeles,48.0
California 35,Norma Torres,Democratic,California State Senate California State Assembly Mayor of Pomona,National Labor College (BA),2015,Pomona,58.0
California 36,Ted Lieu,Democratic,California State Senate California State Assembly,"Stanford University (BA, BS) Georgetown University (JD)",2015,Torrance,54.0
California 37,Sydney Kamlager-Dove,Democratic,California State Senate California State Assembly Los Angeles Community College District Board of Trustees,Compton College University of Southern California (BA) Carnegie Mellon University (MA),2023,Los Angeles[8],51.0
California 38,Linda Sánchez,Democratic,Attorney,"University of California, Berkeley (BA) University of California, Los Angeles (JD)",2003,Whittier[9],54.0
California 39,Mark Takano,Democratic,Teacher,"Harvard University (BA) University of California, Riverside (MFA)",2013,Riverside,62.0
California 40,Young Kim,Republican,California State Assembly,University of Southern California (BBA),2021,Anaheim Hills,61.0
California 41,Ken Calvert,Republican,Real estate executive,Chaffey College San Diego State University (BA),1993,Corona,70.0
California 42,Robert Garcia,Democratic,Mayor of Long Beach Long Beach City Council,"California State University, Long Beach (BA, EdD) University of Southern California (MA)",2023,Long Beach,45.0
California 43,Maxine Waters,Democratic,California State Assembly,"California State University, Los Angeles (BA)",1991,Los Angeles[10],85.0
California 44,Nanette Barragán,Democratic,Hermosa Beach City Council,"University of California, Los Angeles (BA) University of Southern California (JD)",2017,Los Angeles,47.0
California 45,Michelle Steel,Republican,Orange County Board of Supervisors California State Board of Equalization,Pepperdine University (BA) University of Southern California (MBA),2021,Fountain Valley,68.0
California 46,Lou Correa,Democratic,California State Senate Orange County Board of Supervisors California State Assembly,"California State University, Fullerton (BA) University of California, Los Angeles (JD, MBA)",2017,Santa Ana,65.0
California 47,Katie Porter,Democratic,Attorney Professor,Yale University (BA) Harvard University (JD),2019,Irvine,49.0
California 48,Darrell Issa,Republican,U.S. House,Siena Heights University (BA),2021,San Diego[11],69.0
California 49,Mike Levin,Democratic,Environmental activist,Stanford University (BA) Duke University (JD),2019,San Juan Capistrano,45.0
California 50,Scott Peters,Democratic,San Diego City Council San Diego Port Commission,Duke University (BA) New York University (JD),2013,San Diego[12],65.0
California 51,Sara Jacobs,Democratic,Nonprofit founder Policy advisor,"Columbia University (BA, MIA)",2021,San Diego,34.0
California 52,Juan Vargas,Democratic,California State Senate California State Assembly San Diego City Council,University of San Diego (BA) Fordham University (MA) Harvard University (JD),2013,San Diego[13],62.0
Colorado 1,Diana DeGette,Democratic,Colorado House of Representatives,Colorado College (BA) New York University (JD),1997,Denver,66.0
Colorado 2,Joe Neguse,Democratic,Executive Director of the Colorado Department of Regulatory Agencies Regents of the University of Colorado,"University of Colorado, Boulder (BA, JD)",2019,Lafayette[14],39.0
Colorado 3,Lauren Boebert,Republican,Businesswoman Restaurateur,–,2021,Silt,36.0
Colorado 4,Ken Buck,Republican,Weld County District Attorney,Princeton University (BA) University of Wyoming (JD),2015,Windsor[15],64.0
Colorado 5,Doug Lamborn,Republican,President Pro Tempore of the Colorado Senate Colorado House of Representatives,"University of Kansas (BS, JD)",2007,Colorado Springs,69.0
Colorado 6,Jason Crow,Democratic,Attorney U.S. Army,"University of Wisconsin, Madison (BA) University of Denver (JD)",2019,Aurora,44.0
Colorado 7,Brittany Pettersen,Democratic,Colorado Senate Colorado House of Representatives,Metropolitan State University of Denver (BA),2023,Lakewood,41.0
Colorado 8,Yadira Caraveo,Democratic,Colorado Senate,"University of Colorado Boulder (BA, JD)",2023,Thornton[16],42.0
Connecticut 1,John B. Larson,Democratic,Connecticut Senate East Hartford City Council East Hartford Board of Education,Central Connecticut State University (BA),1999,East Hartford,75.0
Connecticut 2,Joe Courtney,Democratic,Connecticut House of Representatives,Tufts University (BA) University of Connecticut (JD),2007,Vernon,70.0
Connecticut 3,Rosa DeLauro,Democratic,Executive Director of EMILY's List Political aide,"Marymount College, Tarrytown (BA) London School of Economics (MA) Columbia University (MA)",1991,New Haven,80.0
Connecticut 4,Jim Himes,Democratic,Financial executive Greenwich Housing Authority Board,"Harvard University (BA) St Edmund Hall, Oxford (MPhil)",2009,Cos Cob,57.0
Connecticut 5,Jahana Hayes,Democratic,Teacher,Naugatuck Valley Community College Southern Connecticut State University (BA) University of Saint Joseph (MA) University of Bridgeport (SYC),2019,Wolcott,50.0
Delaware at-large,Lisa Blunt Rochester,Democratic,Delaware Health and Social Services Secretary Delaware Labor Secretary Delaware Personnel Director,Fairleigh Dickinson University (BA) University of Delaware (MA),2017,Wilmington,61.0
Florida 1,Matt Gaetz,Republican,Florida House of Representatives,Florida State University (BS) College of William & Mary (JD),2017,Niceville,41.0
Florida 2,Neal Dunn,Republican,Surgeon,Washington and Lee University (BS) George Washington University (MD),2017,Panama City,70.0
Florida 3,Kat Cammack,Republican,Political advisor,Metropolitan State University of Denver (BA) Naval War College (MS),2021,Gainesville,35.0
Florida 4,Aaron Bean,Republican,Florida Senate Florida House of Representatives,Jacksonville University (BS),2023,Fernandina Beach,56.0
Florida 5,John Rutherford,Republican,Sheriff of Duval County,Florida State College Florida State University (BS),2017,Jacksonville,71.0
Florida 6,Michael Waltz,Republican,U.S. Army Intelligence analyst,Virginia Military Institute (BS),2019,St. Augustine Beach[17],49.0
Florida 7,Cory Mills,Republican,Defense Business Board Businessman Security specialist U.S. Army,"Florida State College at Jacksonville (AA) American Military University (BS, MA)",2023,New Smyrna Beach,43.0
Florida 8,Bill Posey,Republican,Florida Senate Florida House of Representatives Rockledge City Council,Eastern Florida State College,2009,Rockledge,75.0
Florida 9,Darren Soto,Democratic,Florida Senate Florida House of Representatives,Rutgers University–New Brunswick (BA) George Washington University (JD),2017,Kissimmee[18],45.0
Florida 10,Maxwell Frost,Democratic,Activist Political organizer,Florida State University (BS),2023,Orlando,26.0
Florida 11,Daniel Webster,Republican,Florida Senate Speaker of Florida House of Representatives,Georgia Institute of Technology (BS),2011,Clermont[19],74.0
Florida 12,Gus Bilirakis,Republican,Florida House of Representatives,St. Petersburg College University of Florida (BA) Stetson University (JD),2007,Palm Harbor,60.0
Florida 13,Anna Paulina Luna,Republican,Air National Guard U.S. Air Force,University of West Florida (BS),2023,St. Petersburg,34.0
Florida 14,Kathy Castor,Democratic,Assistant General Counsel to the Florida Department of Community Affairs President of the Florida Association of Women Lawyers Hillsborough County Board of Commissioners,Emory University (BA) Florida State University (JD),2007,Tampa,57.0
Florida 15,Laurel Lee,Republican,Secretary of State of Florida,"University of Florida (BA, JD)",2023,Tampa,49.0
Florida 16,Vern Buchanan,Republican,Auto dealer,Cleary University (BA) University of Detroit Mercy (MBA),2007,Sarasota[20],72.0
Florida 17,Greg Steube,Republican,Florida Senate Florida House of Representatives,"University of Florida (BS, JD)",2019,Sarasota,45.0
Florida 18,Scott Franklin,Republican,Lakeland City Commission,United States Naval Academy (BA) Embry–Riddle Aeronautical University (MBA),2021,Lakeland,59.0
Florida 19,Byron Donalds,Republican,Florida House of Representatives,Florida State University (BS),2021,Naples,45.0
Florida 20,Sheila Cherfilus-McCormick,Democratic,CEO of Trinity Health,Howard University (BA) St. Thomas University (JD),2022 (special),Miramar,44.0
Florida 21,Brian Mast,Republican,U.S. Army,Palm Beach Atlantic University American Military University Harvard University (BLA),2017,Fort Pierce,43.0
Florida 22,Lois Frankel,Democratic,Mayor of West Palm Beach Florida House of Representatives,Boston University (BA) Georgetown University (JD),2013,West Palm Beach,75.0
Florida 23,Jared Moskowitz,Democratic,Florida House of Representatives Broward County Commission Director of the Florida Division of Emergency Management,George Washington University (BA) Nova Southeastern University (JD),2023,Parkland,42.0
Florida 24,Frederica Wilson,Democratic,Florida Senate Florida House of Representatives Miami-Dade County Public Schools Board,Fisk University (BA) University of Miami (MA),2011,Miami Gardens,80.0
Florida 25,Debbie Wasserman Schultz,Democratic,Florida Senate Florida House of Representatives Democratic National Committee Chair,"University of Florida (BA, MA)",2005,Weston,57.0
Florida 26,Mario Díaz-Balart,Republican,Florida Senate Florida House of Representatives,University of South Florida (BA),2003,Miami,62.0
Florida 27,María Elvira Salazar,Republican,News anchor Journalist,Miami Dade College University of Miami (BA) Harvard University (MPA),2021,Miami,61.0
Florida 28,Carlos Giménez,Republican,Mayor of Miami-Dade County Miami-Dade County Commission,Barry University (BPA),2021,Miami,69.0
Georgia 1,Buddy Carter,Republican,Georgia Senate Georgia House of Representatives Mayor of Pooler,Young Harris College University of Georgia (BS),2015,Pooler,66.0
Georgia 2,Sanford Bishop,Democratic,Georgia Senate Georgia House of Representatives,Morehouse College (BA) Emory University (JD),1993,Albany,76.0
Georgia 3,Drew Ferguson,Republican,Mayor of West Point,University of Georgia (BS) Augusta University (DMD),2017,The Rock,56.0
Georgia 4,Hank Johnson,Democratic,DeKalb County Commissioner Associate Magistrate Judge,Clark Atlanta University (BA) Texas Southern University (JD),2007,Lithonia,69.0
Georgia 5,Nikema Williams,Democratic,Georgia Senate Chair of the Georgia Democratic Party,Talladega College (BA),2021,Atlanta,45.0
Georgia 6,Rich McCormick,Republican,U.S. Marine Corps Emergency physician,Oregon State University (BS) Morehouse School of Medicine (MD) National University (MBA),2023,Suwanee,55.0
Georgia 7,Lucy McBath,Democratic,Activist,Virginia State University (BA),2019,Marietta,63.0
Georgia 8,Austin Scott,Republican,Georgia House of Representatives,University of Georgia (BA),2011,Tifton,53.0
Georgia 9,Andrew Clyde,Republican,U.S. Navy,University of Notre Dame (BA) Bethel University (BBA) University of Georgia (MBA),2021,Athens,59.0
Georgia 10,Mike Collins,Republican,Businessman,Georgia State University (BA),2023,Jackson,56.0
Georgia 11,Barry Loudermilk,Republican,Georgia State Senate Georgia House of Representatives,Air University Wayland Baptist University (BS),2015,Cassville,59.0
Georgia 12,Rick W. Allen,Republican,Businessman,Auburn University (BS),2015,Augusta,71.0
Georgia 13,David Scott,Democratic,Georgia State Senate Georgia House of Representatives,Florida A&M University (BA) University of Pennsylvania (MBA),2003,Atlanta,78.0
Georgia 14,Marjorie Taylor Greene,Republican,Businesswoman Activist,University of Georgia (BBA),2021,Rome[21],49.0
Hawaii 1,Ed Case,Democratic,U.S. House Hawaii House of Representatives,"Williams College (BA) University of California, Hastings (JD)",2019,Kāneʻohe,71.0
Hawaii 2,Jill Tokuda,Democratic,Hawaii Senate,University of Hawaiʻi at Mānoa (BA),2023,Kāneʻohe,47.0
Idaho 1,Russ Fulcher,Republican,Idaho Senate,"Boise State University (BA, MBA)",2019,Meridian,61.0
Idaho 2,Mike Simpson,Republican,Idaho House of Representatives Blackfoot City Council,Utah State University (BS) Washington University in St. Louis (DMD),1999,Idaho Falls,73.0
Illinois 1,Jonathan Jackson,Democratic,Investment Analyst,North Carolina A&T State University (BA) Northwestern University (MBA),2023,Chicago,57.0
Illinois 2,Robin Kelly,Democratic,Illinois House of Representatives Chief of Staff to the Illinois Treasurer Chief Administrative Officer to the Cook County President,"Bradley University (BA, MA) Northern Illinois University (PhD)",2013 (special),Matteson,67.0
Illinois 3,Delia Ramirez,Democratic,Illinois House of Representatives,Northeastern Illinois University (BA),2023,Chicago,40.0
Illinois 4,Jesús Chuy García,Democratic,Cook County Board of Commissioners Illinois Senate Chicago City Council,"University of Illinois Chicago (BA, MUP)",2019,Chicago,67.0
Illinois 5,Mike Quigley,Democratic,Cook County Board of Commissioners,Roosevelt University (BA) University of Chicago (MPP) Loyola University Chicago (JD),2009 (special),Chicago,65.0
Illinois 6,Sean Casten,Democratic,Entrepreneur,"Middlebury College (BA) Dartmouth College (MSEM, MS)",2019,Downers Grove,51.0
Illinois 7,Danny K. Davis,Democratic,Chicago City Council Cook County Board of Commissioners,University of Arkansas at Pine Bluff (BA) Chicago State University (MS) Union Institute & University (PhD),1997,Chicago,82.0
Illinois 8,Raja Krishnamoorthi,Democratic,Public servant Attorney,Princeton University (BS) Harvard University (JD),2017,Schaumburg,50.0
Illinois 9,Jan Schakowsky,Democratic,Illinois House of Representatives,University of Illinois Urbana-Champaign (BS),1999,Evanston,79.0
Illinois 10,Brad Schneider,Democratic,U.S. House,"Northwestern University (BS, MBA)",2017,Highland Park,62.0
Illinois 11,Bill Foster,Democratic,U.S. House,"University of Wisconsin–Madison (BS) Harvard University (MS, PhD)",2013,Naperville,68.0
Illinois 12,Mike Bost,Republican,Illinois House of Representatives,–,2015,Murphysboro,62.0
Illinois 13,Nikki Budzinski,Democratic,Chief of Staff to the Director of the Office of Management and Budget Senior Adviser for the Exploratory Committee to J.B. Pritzker,"University of Illinois, Urbana-Champaign (BA)",2023,Springfield,46.0
Illinois 14,Lauren Underwood,Democratic,Registered nurse,"University of Michigan (BSN) Johns Hopkins University (MSN, MPH)",2019,Naperville,37.0
Illinois 15,Mary Miller,Republican,Farmer,"Eastern Illinois University (BA, BS)",2021,Oakland,64.0
Illinois 16,Darin LaHood,Republican,Illinois Senate Prosecutor U.S. Attorney's Office Deputy Prosecutor Tazewell County,"Loras College (BA) John Marshall Law School, Chicago (JD)",2015 (special),Peoria[22],55.0
Illinois 17,Eric Sorensen,Democratic,Meteorologist,Northern Illinois University (BS),2023,Moline,47.0
Indiana 1,Frank J. Mrvan,Democratic,North Township Trustee,Ball State University (BS),2021,Highland[23],54.0
Indiana 2,Rudy Yakym,Republican,Indiana Judicial Nominating Commission Businessman,"Indiana University South Bend (AS, BS) University of Notre Dame (MBA)",2022 (special),Granger,39.0
Indiana 3,Jim Banks,Republican,Indiana Senate,Indiana University Bloomington (BA) Grace College & Seminary (MBA),2017,Columbia City,44.0
Indiana 4,Jim Baird,Republican,Indiana House of Representatives Putnam County Commission,"Purdue University, West Lafayette (BS, MS) University of Kentucky (PhD)",2019,Greencastle,78.0
Indiana 5,Victoria Spartz,Republican,Indiana Senate,"Kyiv National Economic University (BS, MBA) Indiana University, Indianapolis (MAcc)",2021,Noblesville,45.0
Indiana 6,Greg Pence,Republican,Businessman,"Loyola University Chicago (BA, MBA)",2019,Columbus[24],66.0
Indiana 7,André Carson,Democratic,Indianapolis City-County Council,Concordia University Wisconsin (BA) Indiana Wesleyan University (MS),2008 (special),Indianapolis[25],49.0
Indiana 8,Larry Bucshon,Republican,Heart surgeon,University of Illinois Urbana-Champaign (BS) University of Illinois Chicago (MD),2011,Evansville[26],61.0
Indiana 9,Erin Houchin,Republican,Indiana State Senate,"Indiana University, Bloomington (BS) George Washington University (MA)",2023,Salem,47.0
Iowa 1,Mariannette Miller-Meeks,Republican,Iowa Senate U.S. Army,"Texas Christian University (BS) University of Southern California (MS) University of Texas, San Antonio (MD)",2021,Le Claire,68.0
Iowa 2,Ashley Hinson,Republican,Iowa House of Representatives News anchor,University of Southern California (BA),2021,Marion,40.0
Iowa 3,Zach Nunn,Republican,Iowa Senate Iowa House of Representatives U.S. Air Force,Drake University (BA) Air University (MMAS) University of Cambridge (MSt),2023,Bondurant,44.0
Iowa 4,Randy Feenstra,Republican,Iowa Senate Sioux County Treasurer,Dordt University (BA) Iowa State University (MPA),2021,Hull,54.0
Kansas 1,Tracey Mann,Republican,Lieutenant Governor of Kansas Real estate agent Businessman,Kansas State University (BS),2021,Salina,46.0
Kansas 2,Jake LaTurner,Republican,Kansas State Treasurer Kansas Senate,Pittsburg State University (BA),2021,Topeka[27],35.0
Kansas 3,Sharice Davids,Democratic,Attorney Mixed martial artist,Haskell Indian Nations University University of Kansas Johnson County Community College University of Missouri–Kansas City (BA) Cornell University (JD),2019,Roeland Park[28],43.0
Kansas 4,Ron Estes,Republican,Kansas State Treasurer,"Tennessee Technological University (BS, MBA)",2017 (special),Wichita,67.0
Kentucky 1,James Comer,Republican,Kentucky House of Representatives Agriculture Commissioner of Kentucky,Western Kentucky University (BS),2016 (special),Tompkinsville,51.0
Kentucky 2,Brett Guthrie,Republican,Kentucky Senate,United States Military Academy (BS) Yale University (MBA),2009,Bowling Green,59.0
Kentucky 3,Morgan McGarvey,Democratic,Minority Leader of the Kentucky Senate Special Assistant to the Attorney General of Kentucky,University of Missouri (BA) University of Kentucky (JD),2023,Louisville,43.0
Kentucky 4,Thomas Massie,Republican,Judge-Executive of Lewis County,"Massachusetts Institute of Technology (BS, MS)",2012 (special),Garrison,52.0
Kentucky 5,Hal Rogers,Republican,Commonwealth's Attorney for Pulaski County and Rockcastle County,Western Kentucky University (BA) University of Kentucky (LLB),1981,Somerset[29],85.0
Kentucky 6,Andy Barr,Republican,Attorney,University of Virginia (BA) University of Kentucky (JD),2013,Lexington,50.0
Louisiana 1,Steve Scalise,Republican,Louisiana State Senate Louisiana House of Representatives,Louisiana State University (BS),2008 (special),Jefferson,58.0
Louisiana 2,Troy Carter,Democratic,Louisiana State Senate Louisiana House of Representatives New Orleans City Council,Xavier University of Louisiana (BA),2021 (special),New Orleans,60.0
Louisiana 3,Clay Higgins,Republican,Reserve Deputy Marshal of Lafayette,Louisiana State University,2017,Lafayette[30],62.0
Louisiana 4,Mike Johnson,Republican,Louisiana House of Representatives,"Louisiana State University (BA, JD)",2017,Benton,51.0
Louisiana 5,Julia Letlow,Republican,College administrator,"University of Louisiana at Monroe (BA, MA) University of South Florida (PhD)",2021 (special),Start,42.0
Louisiana 6,Garret Graves,Republican,Louisiana Coastal Protection and Restoration Authority,University of Alabama Louisiana Tech University American University,2015,Baton Rouge,51.0
Maine 1,Chellie Pingree,Democratic,"Maine State Senate President, Common Cause",University of Southern Maine College of the Atlantic (BS),2009,North Haven,68.0
Maine 2,Jared Golden,Democratic,Maine House of Representatives,"University of Maine, Farmington Bates College (BA)",2019,Lewiston,41.0
Maryland 1,Andy Harris,Republican,Maryland State Senate Anesthesiologist,"Johns Hopkins University (BS, MD, MHS)",2011,Cambridge,66.0
Maryland 2,Dutch Ruppersberger,Democratic,Baltimore County Executive Chief of the Office of Investigative Division for Maryland's Department of Justice Baltimore County Assistant State's Attorney,"Baltimore City College University of Maryland, College Park (BA) University of Baltimore (JD)",2003,Cockeysville[31],77.0
Maryland 3,John Sarbanes,Democratic,Attorney Law clerk,Princeton University (BA) Harvard University (JD),2007,Baltimore[32],61.0
Maryland 4,Glenn Ivey,Democratic,State's Attorney of Prince George's County Chair of the Maryland Public Service Commission Majority Council to the U.S. Senate Banking Committee Assistant U.S. Attorney,Princeton University (BA) Harvard University (JD),2023,Cheverly,62.0
Maryland 5,Steny Hoyer,Democratic,President of the Maryland State Senate Maryland Board of Higher Education,"University of Maryland, College Park (BA) Georgetown University (JD)",1981 (special),Mechanicsville,84.0
Maryland 6,David Trone,Democratic,Businessman,Furman University (BA) University of Pennsylvania (MBA),2019,Potomac,68.0
Maryland 7,Kweisi Mfume,Democratic,Baltimore City Council  U.S. House  President of the NAACP,Baltimore City Community College Morgan State University (BA) Johns Hopkins University (MA),2020 (special),Baltimore,75.0
Maryland 8,Jamie Raskin,Democratic,Maryland State Senate Majority Whip,"Harvard University (BA, JD)",2017,Takoma Park,60.0
Massachusetts 1,Richard Neal,Democratic,Mayor of Springfield,Holyoke Community College American International College (BA) University of Hartford (MA),1989,Springfield,74.0
Massachusetts 2,Jim McGovern,Democratic,Congressional staff member,"American University (BA, MPA)",1997,Worcester,63.0
Massachusetts 3,Lori Trahan,Democratic,Businesswoman Chief of Staff to Rep. Marty Meehan,Georgetown University (BA),2019,Westford,50.0
Massachusetts 4,Jake Auchincloss,Democratic,Newton City Council,Harvard University (BA) Massachusetts Institute of Technology (MBA),2021,Newton[33],35.0
Massachusetts 5,Katherine Clark,Democratic,Massachusetts Senate Massachusetts House of Representatives Attorney,St. Lawrence University (BA) Cornell University (JD) Harvard University (MPA),2013 (special),Revere,60.0
Massachusetts 6,Seth Moulton,Democratic,Businessman Activist U.S. Marine Corps,"Harvard University (BS, MBA, MPP)",2015,Salem,45.0
Massachusetts 7,Ayanna Pressley,Democratic,Boston City Council,Boston University,2019,Boston[34],49.0
Massachusetts 8,Stephen F. Lynch,Democratic,Massachusetts Senate Massachusetts House of Representatives,Wentworth Institute of Technology (BS) Boston College (JD) Harvard University (MPA),2001 (special),Boston,68.0
Massachusetts 9,Bill Keating,Democratic,Massachusetts House of Representatives Massachusetts Senate Norfolk County District Attorney,"Boston College (BA, MBA) Suffolk University (JD)",2011,Bourne,71.0
Michigan 1,Jack Bergman,Republican,U.S. Marine Corps,Gustavus Adolphus College (BA) University of West Florida (MBA),2017,Watersmeet,76.0
Michigan 2,John Moolenaar,Republican,Michigan Senate Michigan House of Representatives,Hope College (BS) Harvard University (MPA),2015,Caledonia,62.0
