State,Senator,Party,Age,Occupation(s),Previous elective office(s),Education,Assumed office,Class,Residence
Nebraska,Pete Ricketts,Republican,59,Businessman,Governor of Nebraska,"University of Chicago (BA, MBA)","January 12, 2023[t]",2024 (special) 2026 (general) Class 2,Omaha
Nevada,Catherine Cortez Masto,Democratic,59,"Lawyer Assistant U.S. Attorney U.S. Senate staffer Executive vice chancellor, Nevada System of Higher Education",Nevada Attorney General,"University of Nevada, Reno (BS) Gonzaga University (JD)","January 3, 2017",2028 Class 3,Las Vegas
Nevada,Jacky Rosen,Democratic,66,"Computer programmer Software developer, designer, consultant[22][23]",U.S. House,University of Minnesota (BA) Clark County Community College (AAS),"January 3, 2019",2024 Class 1,Henderson
New Hampshire,Jeanne Shaheen,Democratic,76,Teacher Entrepreneur,Governor of New Hampshire New Hampshire Senate,Shippensburg University (BA) University of Mississippi (MSS),"January 3, 2009",2026 Class 2,Madbury
New Hampshire,Maggie Hassan,Democratic,65,Lawyer,Governor of New Hampshire New Hampshire Senate,Brown University (BA) Northeastern University (JD),"January 3, 2017",2028 Class 3,Newfields
New Jersey,Bob Menendez,Democratic,69,Lawyer,U.S. House New Jersey Senate New Jersey General Assembly Mayor of Union City Union City Board of Education,Saint Peter's University (BA) Rutgers Law School (JD),"January 17, 2006[u]",2024 Class 1,Englewood Cliffs[24]
New Jersey,Cory Booker,Democratic,54,Lawyer,"Mayor of Newark, New Jersey Newark Municipal Council","Stanford University (BA, MA) Queen's College, Oxford (MA) Yale University (JD)","October 31, 2013[v]",2026 Class 2,Newark
New Mexico,Martin Heinrich,Democratic,52,Nonprofit organization executive Public relations consultant,U.S. House Albuquerque City Council,University of Missouri (BS),"January 3, 2013",2024 Class 1,Albuquerque
New Mexico,Ben Ray Luján,Democratic,51,"New Mexico Cultural Affairs Department Director of Administrative Services and Chief Financial Officer, New Mexico Deputy State Treasurer",U.S. House New Mexico Public Regulation Commission,New Mexico Highlands University (BBA),"January 3, 2021",2026 Class 2,Nambé
New York,Chuck Schumer,Democratic,73,Lawyer,U.S. House New York State Assembly,"Harvard University (AB, JD)","January 3, 1999",2028 Class 3,Brooklyn
New York,Kirsten Gillibrand,Democratic,56,Lawyer U.S. HUD special counsel,U.S. House,"Dartmouth College (BA) University of California, Los Angeles (JD)","January 26, 2009[w]",2024 Class 1,Brunswick[26]
North Carolina,Thom Tillis,Republican,63,Business consultant,Speaker of the North Carolina House of Representatives,University of Maryland University College (BS),"January 3, 2015",2026 Class 2,Huntersville
North Carolina,Ted Budd,Republican,52,Businessman,U.S. House,Appalachian State University (BSBA) Dallas Theological Seminary (ThM) Wake Forest University (MBA),"January 3, 2023",2028 Class 3,Advance
North Dakota,John Hoeven,Republican,66,Banker,Governor of North Dakota,Dartmouth College (BA) Northwestern University (MBA),"January 3, 2011",2028 Class 3,Bismarck
North Dakota,Kevin Cramer,Republican,62,State Tourism Director State Economic Development and Finance Director North Dakota Republican Party Chairman,U.S. House North Dakota Public Service Commissioner,Concordia College (BA) University of Mary (MA),"January 3, 2019",2024 Class 1,Bismarck
Ohio,Sherrod Brown,Democratic,71,Teacher,U.S. House Ohio Secretary of State Ohio House of Representatives,"Yale University (BA) Ohio State University (MA, MPA)","January 3, 2007",2024 Class 1,Cleveland
Ohio,J. D. Vance,Republican,39,Marine Venture capitalist Author,,Ohio State University (BA) Yale University (JD),"January 3, 2023",2028 Class 3,Cincinnati
Oklahoma,James Lankford,Republican,55,Teacher Nonprofit program director,U.S. House,"University of Texas, Austin (BS) Southwestern Baptist Theological Seminary (MDiv)","January 3, 2015[x]",2028 Class 3,Oklahoma City[27]
Oklahoma,Markwayne Mullin,Republican,46,Businessman Radio host Mixed martial artist,U.S. House,Missouri Valley College Oklahoma State University Institute of Technology (AAS),"January 3, 2023[y]",2026 Class 2,Westville
Oregon,Ron Wyden,Democratic,74,Teacher Nonprofit organization executive,U.S. House,Stanford University (BA) University of Oregon (JD),"February 5, 1996[z]",2028 Class 3,Portland
Oregon,Jeff Merkley,Democratic,67,Nonprofit organization executive CBO analyst Defense Department,Oregon House Speaker,Stanford University (BA) Princeton University (MPA),"January 3, 2009",2026 Class 2,Portland
Pennsylvania,Bob Casey Jr.,Democratic,63,Teacher Lawyer,Pennsylvania Treasurer Pennsylvania Auditor,College of the Holy Cross (BA) Catholic University of America (JD),"January 3, 2007",2024 Class 1,Scranton
Pennsylvania,John Fetterman,Democratic,54,GED teacher Youth program director Nonprofit executive,Lieutenant Governor of Pennsylvania Mayor of Braddock,Albright College (BA) University of Connecticut (MBA) Harvard University (MPP),"January 3, 2023",2028 Class 3,Braddock
Rhode Island,Jack Reed,Democratic,74,Lawyer U.S. Army Reserve officer U.S. Army officer,U.S. House Rhode Island Senate,"United States Military Academy (BS) Harvard University (MPP, JD)","January 3, 1997",2026 Class 2,Jamestown
Rhode Island,Sheldon Whitehouse,Democratic,68,Lawyer United States Attorney,Attorney General of Rhode Island,Yale University (BA) University of Virginia (JD),"January 3, 2007",2024 Class 1,Newport
South Carolina,Lindsey Graham,Republican,68,Lawyer U.S. Air Force Reserve officer,U.S. House South Carolina House of Representatives,"University of South Carolina (BA, JD)","January 3, 2003",2026 Class 2,Seneca
South Carolina,Tim Scott,Republican,58,Insurance agent Financial adviser,U.S. House South Carolina House of Representatives Charleston County Council,Presbyterian College Charleston Southern University (BS),"January 2, 2013[aa]",2028 Class 3,Hanahan[28]
South Dakota,John Thune,Republican,62,Nonprofit organization executive State Railroad Director South Dakota Republican Party Executive Director,U.S. House,Biola University (BA) University of South Dakota (MBA),"January 3, 2005",2028 Class 3,Sioux Falls[29]
South Dakota,Mike Rounds,Republican,69,Businessman,Governor of South Dakota South Dakota Senate,South Dakota State University (BS),"January 3, 2015",2026 Class 2,Fort Pierre[30]
Tennessee,Marsha Blackburn,Republican,71,"Marketing consultant  Executive Director of the Tennessee Film, Entertainment, and Music Commission",U.S. House Tennessee Senate,Mississippi State University (BS),"January 3, 2019",2024 Class 1,Brentwood
Tennessee,Bill Hagerty,Republican,64,Management consultant Private equity investment firm partner United States Ambassador to Japan Tennessee Commissioner of Economic and Community Development,,"Vanderbilt University (BA, JD)","January 3, 2021",2026 Class 2,Nashville[31]
Texas,John Cornyn,Republican,71,Lawyer,San Antonio District Judge Texas Attorney General Texas Supreme Court (Associate Justice),"Trinity University (BA) St. Mary's University, Texas (JD) University of Virginia (LLM)","December 2, 2002[ab]",2026 Class 2,Austin
Texas,Ted Cruz,Republican,52,Lawyer U.S. Assoc. Deputy AG Texas Solicitor General,,Princeton University (AB) Harvard University (JD),"January 3, 2013",2024 Class 1,Houston
Utah,Mike Lee,Republican,52,Lawyer Governor's general counsel Assistant United States Attorney,,"Brigham Young University (BA, JD)","January 3, 2011",2028 Class 3,Alpine
Utah,Mitt Romney,Republican,76,Businessman,Governor of Massachusetts,Brigham Young University (BA) Harvard University (JD/MBA),"January 3, 2019",2024 Class 1,Holladay
Vermont,Bernie Sanders,Independent[n],82,Filmmaker Writer Political activist,"U.S. House Mayor of Burlington, Vermont",Brooklyn College University of Chicago (BA),"January 3, 2007",2024 Class 1,Burlington
Vermont,Peter Welch,Democratic,76,Community organizer Vermont Superior Court law clerk Lawyer,U.S. House Vermont Senate President Pro Tempore Minority Leader of the Vermont Senate,"College of the Holy Cross (BA) University of California, Berkeley (JD)","January 3, 2023",2028 Class 3,Norwich
Virginia,Mark Warner,Democratic,68,Businessman Venture capitalist Virginia Democratic Party Chair,Governor of Virginia,George Washington University (BA) Harvard University (JD),"January 3, 2009",2026 Class 2,Alexandria
Virginia,Tim Kaine,Democratic,65,Missionary Lawyer Teacher Democratic National Committee Chair,"Governor of Virginia Lieutenant Governor of Virginia Mayor of Richmond, Virginia",University of Missouri (BA) Harvard University (JD),"January 3, 2013",2024 Class 1,Richmond
Washington,Patty Murray,Democratic,73,Teacher Lobbyist,Washington Senate Shoreline School Board,Washington State University (BA),"January 3, 1993",2028 Class 3,Freeland[32]
Washington,Maria Cantwell,Democratic,65,Political campaigner Activist Lobbyist Marketing executive,U.S. House Washington House of Representatives,Miami University (BA),"January 3, 2001",2024 Class 1,Edmonds
West Virginia,Joe Manchin,Democratic,76,Corporate executive,Governor of West Virginia Secretary of State of West Virginia West Virginia Senate West Virginia House of Delegates,West Virginia University (BBA),"November 15, 2010[ac]",2024 Class 1,Fairmont[33]
West Virginia,Shelley Moore Capito,Republican,70,College career counselor West Virginia Board of Regents educational information center director,U.S. House West Virginia House of Delegates,Duke University (BA) University of Virginia (MEd),"January 3, 2015",2026 Class 2,Charleston
Wisconsin,Ron Johnson,Republican,68,Accountant Corporate executive,,University of Minnesota (BS),"January 3, 2011",2028 Class 3,Oshkosh
Wisconsin,Tammy Baldwin,Democratic,61,Lawyer,"U.S. House Wisconsin Assembly Dane County, Wisconsin Board of Supervisors",Smith College (BA) University of Wisconsin-Madison (JD),"January 3, 2013",2024 Class 1,Madison
Wyoming,John Barrasso,Republican,71,Orthopedic surgeon Medical chief of staff Nonprofit organization executive,Wyoming Senate,"Rensselaer Polytechnic Institute Georgetown University (BS, MD)","June 25, 2007[ad]",2024 Class 1,Casper
Wyoming,Cynthia Lummis,Republican,69,Lawyer,U.S. House Wyoming Treasurer Wyoming Senate Wyoming House of Representatives,"University of Wyoming (BS, JD)","January 3, 2021",2026 Class 2,Cheyenne
